Artist;Scrobblings;Origen
Satanicum Tenebrae;8;
The Mall;8;
The Soft Moon;8;
Tony Tun Tun;8;
Truppensturm;8;
Vordr;8;
VxPxOxAxAxWxAxMxC;8;
Wake;8;
Wolf Eyes;8;
Wormwitch;8;
WVRM;8;
Глум;8;
КРАСНОЗНАМЕННАЯ ДИВИЗИЯ ИМЕНИ МОЕЙ БАБУШКИ;8;
Темнозорь;8;
Alexis y Fido;7;
Aniceto Molina;7;
AronChupa Little Sis Nora;7;
Asbel;7;
Barbaric Horde;7;
Binomio De Oro;7;
Black Invocation;7;
Catholic Spit;7;
Cattle Decapitation;7;
Der Schulte;7;
Dr Poky;7;
Drautran;7;
Endlec;7;
Enter Hell;7;
Feigur;7;
Forgotten Ruin;7;
Gauntlet Ring;7;
Georges Bizet;7;
GLEB : ZOO;7;
Grimfaug;7;
Hellripper;7;
Hypnotize;7;
Impenetrable Darkness;7;
Introversion;7;
Janelle Monáe;7;
Juan Gabriel;7;
Kraken;7;
La Mosca Tsé-Tsé;7;
Lamentation;7;
M.I.A.;7;
Maȟpíya Lúta;7;
Mala Fe;7;
Max Richter;7;
Merzbow;7;
Mortifer;7;
NÄCHTLICH;7;
Necroholocaust;7;
Night Lovell;7;
Nihil Obstat;7;
Nordland;7;
Order of Nosferat;7;
Panther Modern;7;
PASTEL GHOST;7;
Pseudogod;7;
Sanguine Relic;7;
Satan;7;
Sentenced;7;
Shakira;7;
Soccer Mommy;7;
Sorcery;7;
Storm;7;
Svarthymn;7;
t.A.T.u.;7;
Takaaki Itoh;7;
The Braindrillerz;7;
The Red Army Choir;7;
Till;7;
UADA;7;
Utuk Xul;7;
Velvet Cacoon;7;
Vivus Humare;7;
Algaion;6;
Anarchus;6;
Apartment 213;6;
Aurat;6;
Auxxxcult;6;
Bapthomet;6;
Bergënot;6;
Cabra Negra;6;
Carnivore;6;
Charnel Altar;6;
Devour the Unborn;6;
Die Die;6;
Doodsangst;6;
Dream Theater;6;
Eiffel 65;6;
Ektoplasma;6;
Evil Angel;6;
Feid;6;
Forgotten Pathways;6;
Fuck Off And Die!;6;
GL▲SS †33†H;6;
gleb : zoo x smack;6;
Goat Evil;6;
Guilty Connector;6;
Gutrot;6;
Hirax;6;
Human Agony;6;
Johann Strauss I;6;
Karate;6;
Karil;6;
Legion;6;
Lifvsleda;6;
Mr.Kitty;6;
Mutilatred;6;
Neurosis;6;
Nirvana;6;
Nitberg;6;
Order of the Death's Head;6;
Oro Solido;6;
Pisdati Blyat;6;
Rat Cage;6;
Razorrape;6;
Repulsion;6;
Rotting Christ;6;
Rudy La Scala;6;
Russian Jump Up Mafia;6;
Sacred Reich;6;
Sanctifica;6;
Sankara;6;
Sapientia;6;
Sickrecy;6;
Silent Servant;6;
Stürm Kommand;6;
Süngehel;6;
Takeoff;6;
Uønsket;6;
Village People;6;
Viper XXL;6;
Vital Remains;6;
Vitsaus;6;
Vollny;6;
Witch Desire;6;
Zyklon-B;6;
Квашеная;6;
МУККА;6;
55Gore;5;Finlandia
Aborted;5;
Akhernar;5;
Alci Acosta;5;
Alzate;5;
Ansome;5;
Antonio Aguilar;5;
Ash Code;5;
Astarte;5;
Baphomets Horns;5;
Baptism;5;
Black Altar;5;
Brighter Death Now;5;
Christian Nodal;5;
Cliteater;5;
Coldcloud;5;
Cuarteto Imperial;5;
Dead or Alive;5;
Deathhammer;5;
DEMENTAR;5;
Destruction;5;
Dschinghis Khan;5;
Enbilulugugal;5;
Fernom;5;
Forest Silence;5;
Fostercare;5;
Galy Galiano;5;
Ghost;5;
Goat Molestör;5;
Goatlord;5;
Grupo Climax;5;
Hadak Ura;5;
Harvest;5;
Hernan Dario Hernandez;5;
Holocausto;5;
Jan Fleck;5;
Karol G;5;
Kawir;5;
Kraftwerk;5;
Las Ketchup;5;
Lil Pump;5;
Lord Belial;5;
Lorn;5;
Maeströ Cröque Mört;5;
Maharti;5;
Mariya Chaykovskaya;5;
Midnight Betrothed;5;
Milica Ostojić;5;
Mons Veneris;5;
Moonlight Sorcery;5;
Morpheus Descends;5;
Nahtrunar;5;
Necroslut;5;
Nedjo Kostic;5;
Nehëmah;5;
Nikolai Rimsky-Korsakov;5;
Ondskapt;5;
Oscar Agudelo;5;
Parallx;5;
Pestes;5;
Phase Fatale;5;
Planetary Assault Systems;5;
Purtenance;5;
Rrose;5;
Sacrificium Carmen;5;
Sadistic Intent;5;
Saint Vitus;5;
Sepulchral Aura;5;
Slave House;5;
Soldat;5;
Solemn Imagist;5;
SpermSwamp;5;
ssshhhiiittt!;5;
Supermerk2;5;
The Retuses;5;
The Rolling Stones;5;
Under Black Helmet;5;
V.CT.R;5;
Vader;5;
Veles;5;
Vinterriket;5;
Visceral Disgorge;5;
Vzaéurvbtre;5;
Wampyrinacht;5;
Weregoat;5;
Winterfylleth;5;
Xantotol;5;
XavlegbmaofffassssitimiwoamndutroabcwapwaeiippohfffX;5;
Yanka;5;
Горемыка;5;
Юлия Савичева;5;
6;4;
Absintdebellum;4;
Aetherius Obscuritas;4;
Amnesia Scanner;4;
Anticreation;4;
Argar;4;
Artery Eruption;4;
Aske;4;
Atra;4;
Audiomachine;4;
Baphomet's Blood;4;
Bee Gees;4;
Benassi Bros.;4;
Biological Monstrosity;4;
Bitterkeit;4;
Bolt Thrower;4;
BRAHMASTRIKA;4;
Brocken Moon;4;
Caladan Brood;4;
Calderum;4;
Celticmoon;4;
Chamber Of Unlight;4;
Chaos Moon;4;
Con-Dom;4;
Dantalian;4;
Dayvi;4;
Dehumanizing Itatrain Worship;4;
Detriktuss;4;
Distorted Face;4;
Dropdead;4;
Flesh Consumed;4;
Friedhofsbewohner;4;
Giuseppe Verdi;4;
Glaciation;4;
Grot;4;
Hante.;4;
Headhunterz;4;
HEALTH;4;
hirven verenimijä;4;
Holyarrow;4;
ilan Bluestone;4;
John Lennon;4;
Kältetod;4;
Karma to Burn;4;
Kurjuus;4;
Kyuss;4;
Le Click;4;
Lil Xan;4;
Los Embajadores Vallenatos;4;
Los Inquietos;4;
Lvcifyre;4;
Maxx;4;
Mick Gordon;4;
Mordaehoth;4;
Mountain Witch;4;
Mr. President;4;
Munk;4;
Naastrand;4;
Nekrobutcher;4;
Neokontrol;4;
Ninkharsag;4;
NITERIS;4;
Nyktalgia;4;
Oasis;4;
Örnatorpet;4;
Palina;4;
Paracoccidioidomicosisproctitissarcomucosis;4;
PARÄSITO;4;
Ploho;4;
Propergol;4;
Proyecto Uno;4;
Pupsidelic;4;
Pure;4;
Purgatör;4;
Pustulated;4;
Razor;4;
Rhodesia;4;
Rings of Saturn;4;
ruido destruido;4;
Sak Noel;4;
Sébastien Dionne;4;
Sexy Sushi;4;
Skuggeheim;4;
Sorhin;4;
SSacol;4;
Sunn O)));4;
Temple of Baal;4;
The 4-Skins;4;
Tiësto;4;
Totenreich;4;
Trijumf;4;
Trollheim;4;
Tumba;4;
Urn;4;
Vampirska;4;
VERGEWALTIGER;4;
Vulture;4;
Xosar;4;
забей лерочка;4;
Кровосток;4;
Перемотка;4;
ПОШЛАЯ МОЛЛИ;4;
Френдзона;4;
щенки;4;
13th Monkey;3;Alemania
Abominor;3;
Alatyr;3;
Alien Chaos;3;
Alien Thugz;3;
Alwaar;3;
Amesoeurs;3;
Anal Massaker;3;
Answer Code Request;3;
Arghoslent;3;
Assassination;3;
Aventura;3;
Baphomilitia;3;
Black Marble;3;
Black Wood;3;
BOSTON 168;3;
Calvin Harris;3;
Carl Czerny;3;
Carlos Esmeralda Jalapeño;3;
Ceza;3;
Christian Wunsch;3;
Clams Casino;3;
Clandestine Blaze;3;
Climax;3;
CMH;3;
Crustina Aguilera;3;
Darvaza;3;
Desobediencia Civil;3;
Dethroned Christ;3;
Devil's Witches;3;
DIIV;3;
Disentomb;3;
Disorder;3;
Dolphin;3;
Dr. Peacock;3;
Dragon Ball;3;
Druadan Forest;3;
Dulvel;3;
Edvard Grieg;3;
Eliwagar;3;
Ellende;3;
Elton John;3;
Enslaved;3;
Europe;3;
Exhumed;3;
Fuck on the Beach;3;
Gas Rag;3;
Gastrorrexis;3;
Gëinst;3;
Geistform;3;
Gestapo 666;3;
Giacomo Puccini;3;
GOAT RITUAL;3;
Hagzissa;3;
Hallucination Maze;3;
haren;3;
Héctor El Father;3;
Hekseblad;3;
Hexakosioihexekontahexaphobia;3;
Iguana;3;
Jason Shook;3;
john jairo perez;3;
Kaiba;3;
King Plague;3;
Kressenkaiser;3;
Kristaliis;3;
Kult;3;
Kushfrost;3;
Kvist;3;
Laval;3;
Leichenzug;3;
Lil Peep;3;
Linea Aspera;3;
Ljå;3;
los hermanos medina;3;
Los Rayos de Mexico;3;
Lowshape;3;
Lupe Y Polo;3;
M|O|O|N;3;
Mac DeMarco;3;
Malbek;3;
Malignancy;3;
Mark Bernes;3;
Marko Perković Thompson;3;
Mastodon;3;
Matt M. Maddox;3;
Metrorrhagia;3;
Midvinter;3;
Muerte por Implosión;3;
Muknal;3;
Nailbomb;3;
Necrot;3;
Nelson Y Sus Estrellas;3;
Nigel Pepper Cock;3;
Old Sorcery;3;
Orlok;3;
Os Ovni;3;
Oscar Mulero;3;
Panzerwar;3;
Paracoccidiodiomicosisproctitisarcomucosis;3;
Pedro Infante;3;
Pestilent Grave;3;
Pharmacist;3;
Primitive Warfare;3;
Prurient;3;
Pure Ground;3;
Queen;3;
Real McCoy;3;
Rebekah;3;
Regis;3;
Rendez Vous;3;
Rob Zombie;3;
Robert Miles;3;
Rotten Noise;3;
Rubén Blades;3;
Sandro;3;
Sash!;3;
Serbian Urban Music Ensemble;3;
Serj Tankian;3;
Sinister;3;
SINISTRARY;3;
Skeler;3;
SomeElectronicCookin;3;
Spectral Wound;3;
Splintering Lightning Spear;3;
Suicide Commando;3;
SveTec;3;
The Drums;3;
The Knife;3;
The Prodigy;3;
Thorr's Hammer;3;
Thy Infernal;3;
Timmy Trumpet;3;
Tito El Bambino;3;
Tommy Four Seven;3;
Torturing Nurse;3;
Total Fucking Destruction;3;
Trenchgrinder;3;
Trikomoniasis Fournier;3;
Trollkotze;3;
Truchło Strzygi;3;
Úrhrak;3;
Valentin Strykalo;3;
Walknut;3;
We;3;
Weald and Woe;3;
White 2115;3;
Zheani;3;
zyxdance;3;
Ангел;3;
ДЕТИ RAVE;3;
Дрыгва;3;
Июльские Дни;3;
Обе Две;3;
ПОЛМАТЕРИ;3;
Синдром Живого Трупа;3;
∆AIMON;2;Estados Unidos
18 Carat Affair;2;Chequia
7 Year Bitch;2;Estados Unidos
ABBA;2;Suecia
Abbath;2;Noruega
Abstract Division;2;
Aero Chord;2;
Agouro;2;
Ahriman;2;
Aindulmedir;2;
Akram Assaf;2;
Alex Crispin;2;
Alex TB;2;
Alice Glass;2;
Amaka Hahina;2;
Anaal Nathrakh;2;
ANAZED;2;
Andrea Signore;2;
anthony zambrano;2;
Antoha MC;2;
Arma;2;
Ashford & Simpson;2;
Ashnikko;2;
Assimil;2;
ATL;2;
AtRoXX;2;
Austere;2;
Auxxxxxcult;2;
Axis of Advance;2;
Bad Bunny;2;
Barathrum;2;
Bastinov;2;
BaWn;2;
Belathauzer;2;
Belzebuth;2;
Belzec;2;
Bethor;2;
Binomio de Oro de América;2;
Bizarrap;2;
Blanck Mass;2;
Blues Pills;2;
Buzz Kull;2;
Chainsaw Castration;2;
Chasmal Mire;2;
CHVRN;2;
Claws of Moriis;2;
Coal Chamber;2;
Com Truise;2;
Corona;2;
Cosmic Lizard;2;
Coucou Chloe;2;
Cradle of Filth;2;
Culture Beat;2;
Cystgurgle;2;
Czarci Świt;2;
Da Vosk Docta;2;
Damn Whøre;2;
Daniel Shake;2;
David Guetta;2;
Demolition Group;2;
Den BB;2;
Diamanda Galás;2;
Digitalism;2;
Dio;2;
DJ Blyatman & Russian Village Boys;2;
DJ Plague feat. Nikkita;2;
DJ Sammy;2;
Dr Peacock;2;
Elad Magdasi;2;
Eldamar;2;
Ellen Allien;2;
Ensiferum;2;
Evil;2;
Evildead;2;
Evilfeast;2;
Ewigeis;2;
Feastem;2;
Finch Asozial;2;
Folkbeat;2;
Fuath;2;
FUCK OF AND DIE;2;
Funeral Mist;2;
Funereal Presence;2;
Gala;2;
Gemeinerich;2;
Genocide Kommando;2;
Gio Kavelashvili;2;
Gnaw Their Tongues;2;
Gore and Carnage;2;
Grim Reaper;2;
GRLwood;2;
Grupo Aguilas Del Norte;2;
Guerreros de Lucifer;2;
Guttural Slug;2;
Have a Nice Life;2;
Helena Hauff;2;
Henbane;2;
Hermóðr;2;
HO99O9;2;
Horrified;2;
Hot Chip;2;
Hotzzen;2;
I Hate Models;2;
iamamiwhoami;2;
Ideation;2;
Imil;2;
Ingested;2;
Instigator;2;
Ivan Dorn;2;
James Hannigan;2;
Jason Little;2;
Jason Ross;2;
Javier Medina;2;
Jessi Uribe;2;
Joaquin Bedoya;2;
John Mccormack;2;
John Wiese;2;
Jorge Negrete;2;
José Luis Perales;2;
Kaayaas;2;
Kai Flood;2;
Karenn;2;
Kerosene Club;2;
Kommando Schwarztee;2;
Kontravoid;2;
Kreft;2;
Krzesimir Dębski;2;
Kult ofenzivy;2;
Kurwastyle Project;2;
La Banda Loca;2;
La Tana Del Suono;2;
Labyrinth Ear;2;
Lana Del Rabies;2;
Lantlos;2;
Lessence;2;
Los Angeles Negros;2;
Los Corraleros De Majagual;2;
Los Mirlos;2;
Lotic;2;
luckylouie522;2;
Luigi 21 Plus;2;
Machine Girl;2;
Manowar;2;
Mecano;2;
MISHELLE MASTER BOYS;2;
Monarque;2;
Moya Mishel;2;
Mukka;2;
Musi-O-Tunya;2;
Naglfar;2;
Negură Bunget;2;
Neonglo;2;
Nibana;2;
Nightpröwler;2;
Oberst Panizza;2;
Old Tower;2;
Oxxxymiron;2;
P.E.A.R.L.;2;
Pantera;2;
Paralocks Vs Bombax;2;
Pathology;2;
Paula Temple;2;
Pauline Oliveros;2;
Pervertum;2;
Pet Duo;2;
Polar Inertia;2;
Polo Montañez;2;
Pornofilmy;2;
Profanum;2;
Public Acid;2;
Pungent Stench;2;
Purity Ring;2;
Pyrokinesis;2;
Regal;2;
Ricardo Silva;2;
Rikarena;2;
S U R V I V E;2;
S3RL;2;
Sacramentum;2;
Sahrana;2;
SAMIRA ARIANNE;2;
Satanachia;2;
Satanized;2;
Scalp;2;
Scatman John;2;
Sebastian Tobon;2;
Selena;2;
Shed;2;
Siege;2;
Silent Thunder;2;
Siuzanna;2;
SKRD!!! Crew;2;
Slash;2;
sleepisformortals;2;
SOFT BLADE;2;
Sore Throat;2;
Spazz;2;
Spirit of the Beehive;2;
SQWOZ BAB;2;
SrpskiBass;2;
Stanislav Tolkachev;2;
Starslav;2;
Static-X;2;
Still Corners;2;
Strid;2;
Sunn 0)));2;
Sven Wunder;2;
svrm;2;
Swordmaster;2;
Tatarka;2;
Tchagun;2;
Tego Calderón;2;
Terrorbunny;2;
The Deathtrip;2;
The Janitor;2;
Theoroth;2;
Through the Pain;2;
Thule;2;
Tommyknocker;2;
Total Distopia;2;
Totalselfhatred;2;
Totenwtich;2;
TOUGHGUY;2;
Trepaneringsritualen;2;
Truncate;2;
Ultha;2;
Ultor;2;
Unknown Context;2;
Vampyric;2;
Varathron;2;
Verdammnis;2;
VolkSraad;2;
Vril;2;
Warpaint;2;
Washed Out;2;
Wasted Penguinz;2;
Wednesday;2;
Windhand;2;
WitchMoon;2;
Wolfine;2;
XXXTENTACION;2;
Yggtyrhyrkkh Hin Dystre;2;
Yuko;2;
Zimmz;2;
Zion;2;
Валерий Петряев;2;
Вокруг Фонарного Столба;2;
Воскресение;2;
Дайте танк (!);2;
Дурной Вкус;2;
Источник;2;
Кино;2;
Машина времени;2;
Мракобесие;2;
Родосвет;2;
666;1;Hungría
999999999;1;Italia
//TENSE//;1;Estados Unidos
1914 Sasha Boole;1;Ucrania
2 Unlimited;1;Bélgica
Abominable Putridity;1;Rusia
Abominator;1;Australia
AC/DC;1;
Actress;1;
ACxDC;1;
Adam Beyer;1;
Adamantum;1;
Adolescent's Orquesta;1;
AF Trooper;1;
Aggressive;1;
Agnes Obel;1;
Agua Bendita;1;
Ahmad Al Kosem;1;
AIROD;1;
akatsukiDaRk01;1;
Akgnar;1;
Alberto Ruiz;1;
Alessandro Moreschi;1;
Alestorm;1;
ALFA LF;1;
Algar;1;
Alien Fucker;1;
All Your Sisters;1;
Alvvays;1;
alyans;1;
Amanda Yang;1;
Anacondaz;1;
Anarkia Tropikal;1;
Ancient North;1;
Andi Teller;1;
Anikv;1;
Anthony Linell;1;
Antipole;1;
Arca;1;
Arcangel;1;
Arctic Wolf;1;
Armando Hernandez;1;
Armin van Buuren;1;
Arnulfo Briceño;1;
Art of Trance;1;
Asenssia;1;
Asphyx;1;
Assück;1;
Astaroth;1;
Athos;1;
Atmosfear;1;
Atrophy;1;
Automatic;1;
Baby Basher;1;
Badwor7h;1;
Barad Dûr;1;
Ben-Clarke;1;
Benislav;1;
Bernard Parmegiani;1;
Bertocucci Feranzano;1;
Bhleg;1;
Bienvenido Granda;1;
Big Black;1;
Billx;1;
Bjoern Torwellen;1;
Black Light Smoke;1;
Black Vomit 666;1;
Blasco;1;
Bleachers;1;
Blind Delon;1;
Blondie;1;
Bloodhound Gang;1;
Blümchen;1;
Blurix;1;
BNNY;1;
Bob Marley;1;
Bones;1;
Boogrov;1;
Boris;1;
Boris S.;1;
Børnesange Cowboy Jack;1;
boulevard depo;1;
Bow Church;1;
Boy Wonder Cf;1;
Boyd Rice and Friends;1;
Bragolin;1;
Brainstalker;1;
Brian Tyler;1;
Brigada Totenkopf;1;
British Murder Boys;1;
Broken English Club;1;
Brutal Attack;1;
Buchecha;1;
Bullous Pemphigoid Presenting As Dry Gangrene In A Revascularized Limb;1;
Butchery;1;
Candlemass;1;
Carnivore Diprosopus;1;
Caroline Collette;1;
Caveman Cult;1;
Cell Rot;1;
Cerberum;1;
Cercle;1;
Ceremony;1;
Cesqeaux;1;
Charlotte de Witte;1;
Checker Patrol;1;
Chema Gogia;1;
Chocolate Puma;1;
Chrissy Zebby Tembo;1;
Cipri;1;
Clairo;1;
Clitgore;1;
Clouds;1;
Coke Bust;1;
Cold Cave;1;
ColdWorld;1;
Consumer Electronics;1;
CORTEJO FÚNEBRE;1;
Cosmic Gate;1;
Crack Family;1;
Craft Spells;1;
Cretin;1;
Crude SS;1;
Crudelitas;1;
Crudo Means Raw;1;
Cuentos de los Hermanos Grind;1;
Cyber;1;
Cyndi Lauper;1;
D.O.M.;1;
Da Hool;1;
Daniel Gualdrón;1;
Daniel Santos;1;
Daniela Haverbeck;1;
Dankev;1;
Danny Rivera;1;
Dark Thoughts;1;
David Ward;1;
Davide;1;
De Hofnar;1;
Dead Kennedys;1;
Dead Melodies;1;
Deadboy;1;
Deathpile;1;
Deceiver Legion;1;
Deggial;1;
Degos & Re-Done;1;
Dementor;1;
Demigod;1;
Den Sorte Død;1;
Despise You;1;
D-Fence;1;
Diabarha;1;
Die Form;1;
Dionnysuss;1;
Diplo;1;
Disgust;1;
Dj Antitiesto;1;
DJ AroZe;1;
Dj Banos;1;
DJ Isaac;1;
DJ KRMAK;1;
DJ Lhasa;1;
DJ Rentgen;1;
Dj Scale Ripper;1;
dj.frodo;1;
Dmitri Shostakovich;1;
Donato Dozzy;1;
Donna Summer;1;
Don't Like us... Fear us!;1;
Dopelord;1;
Dose;1;
Dr. Putin;1;
Dream Boat;1;
Dua Lipa DaBaby;1;
Dubmood;1;
Dueto America;1;
Dvnaèbkre;1;
Dyster;1;
Earthling;1;
Eberhard Schoener;1;
Eddy Herrera;1;
Eduard Khil;1;
Eh!!! Guacho;1;
El Bobo Negro;1;
El caminante;1;
El empuje;1;
El Sayayín;1;
EL WALI;1;
Elvis Presley;1;
EMADUS;1;
Emptyset;1;
Empyrium;1;
enjoii;1;
Equilibrium;1;
Eschaton;1;
Eshtadur;1;
ESOTERIC CIRCLE;1;
Espinoza Paz;1;
Estandarte 88;1;
Etapp Kyle;1;
E-Type;1;
Excrementory Grindfuckers;1;
Exumer;1;
Face;1;
Faithless;1;
Falls of Rauros;1;
Far Caspian;1;
Farrago;1;
Father Befouled;1;
FFFLVTHN;1;
Fiendish Imp;1;
First Aid Kit;1;
Floatie;1;
For Those I Love;1;
French Morning;1;
Frontliner;1;
Full of Hell;1;
Gabriel Fauré;1;
Gabriel Wnz;1;
Gadget;1;
Galatée;1;
gan9e;1;
Garadrak;1;
Gary Beck;1;
Gehennah;1;
general dynamics;1;
Genix;1;
Gentle Giant;1;
Gildardo Montoya;1;
Gillette;1;
Gizmo;1;
Glocal Orchestra;1;
Glup!;1;
Go Hiyama;1;
Goat Sperm;1;
Goatwhore;1;
GOCI;1;
Golpe;1;
GoodBooks;1;
goreshit;1;
Gorgasm;1;
GOTTHAMMER;1;
Grebz;1;
Grimes ft. Janelle Monáe;1;
Grupo Firme;1;
Grupo Marrano;1;
Grupo Nizze;1;
Grupo Sonador;1;
GTA;1;
Gucci Mane;1;
Gustav Holst;1;
Gustavo Bertoni;1;
gylve fenris nagell;1;
Habibi;1;
Haemorrhage;1;
Hail The Golden Dawn;1;
Half Moon Run;1;
HammerFall;1;
Hard Driver;1;
Harry Potar;1;
Haski;1;
Hawai;1;
Haydn Quartet;1;
Hecate Enthroned;1;
Hector & Tito;1;
Hefty;1;
Hellboy;1;
Hellseeker;1;
Heresiarkhes;1;
Hermanas Calle;1;
HGM;1;
Hibou;1;
Hilight Tribe;1;
hirvenverenimijä;1;
HMLTD;1;
Hombres G;1;
Hordagaard;1;
Horror Vacui;1;
Hosmo Zonik;1;
Howard Shore;1;
Human 80;1;
Hunter;1;
Ic3peak BOULEVARD DEPO;1;
Ilegales;1;
Ilhan Mimaroglu;1;
Ilkim Oulanem;1;
Imarhan;1;
Imber Luminis;1;
in your eyes;1;
Infernal Curse;1;
Inferno;1;
Inkyz;1;
Insector;1;
Interium;1;
Interpol;1;
Intra Frekish Void;1;
Inverna;1;
Iron Lung;1;
ITSOKTOCRY;1;
Ivy Rue;1;
Jaceo;1;
Jaguares;1;
jaider aventuras;1;
James Brown;1;
Jan Ekier;1;
Jay Lumen;1;
Jaycut;1;
Jean-Michel Blais;1;
Jen Brook;1;
Jhon Alex Castaño;1;
Jim Morrison;1;
Jimmy Chiriboga;1;
JKB;1;
Joe Cuba;1;
Joe Perry;1;
Joep Beving;1;
Johannes Menzel;1;
John Darque;1;
John Ottman;1;
Jonas Aden;1;
Josef Anton Riedl;1;
Julien Baker;1;
julien earle;1;
Julieta Venegas;1;
Jumbo Xonx;1;
Kai Pattenberg;1;
Kai Tracid;1;
Kangding Ray;1;
Karaczun;1;
Karina Vismara;1;
Kasparov;1;
Kate Bollinger;1;
Kavinsky;1;
Kendrick Lamar;1;
Ketzer;1;
Killawatt;1;
Kirkebrann;1;
Klyve Lewis project SxSxOxTxCxPxBxAxO;1;
Konrad (Italy);1;
Koridor;1;
Kornél Kovács;1;
Korpiklaani;1;
Kriegsmaschine;1;
Krohm;1;
Krömosom;1;
Krovostok;1;
KseroN;1;
L7;1;
La Combinación Vallenata;1;
La Etnnia;1;
La Luz;1;
La Musique des Armées;1;
La Tropa Vallenata;1;
Ladytron;1;
Las Aves De Oriente;1;
Lasgo;1;
Låska;1;
Le Bask;1;
Lea in the Mix;1;
Leichenhammer;1;
Lenna;1;
Leptictidium;1;
Leshak;1;
Light Asylum;1;
Lingua Ignota;1;
Lipps Inc.;1;
Lividity;1;
Liyolei;1;
LluÍs Ribalta;1;
Loose Connection;1;
Los Acosta;1;
Los Bukis;1;
Los Cantantes;1;
Los Chiches Vallenatos;1;
Los Crudos;1;
Los Del Rio;1;
Los Golpes;1;
Los Huracanes Del Norte;1;
Los Melódicos;1;
Los Pamperos;1;
Los Rodriguez;1;
Los Silver;1;
Los Tupamaros;1;
Los Warahuaco;1;
LOVING;1;
Low Roar;1;
loyalkatherina;1;
LTGTR;1;
Luciation;1;
Luciferian Rites;1;
Lucy Rose;1;
Ludovico Einaudi;1;
Luis Alfonso;1;
Luis Felipe González;1;
Luis Miguel Fuentes;1;
Luisito Muñoz;1;
Lukas;1;
Luny Tunes;1;
Lymphatic Phlegm;1;
Lyzergik Brain;1;
M△S▴C△RA;1;
Macabre Operetta;1;
Mae Ji-Yoon;1;
Magicool;1;
Magnus Pålsson;1;
Maisie Peters;1;
Malbec;1;
MalFet;1;
Man Is the Bastard;1;
Maná;1;
Manchester Orchestra;1;
Mandala Bros.;1;
Manudi;1;
Mareux;1;
Maria Daniela Y Su Sonido Lasser;1;
Marisa Anderson;1;
Martyrdöd;1;
Mason;1;
Mattke;1;
Mauro Picotto Pulsar;1;
Max Korzh;1;
Maybe Baby;1;
Mehter;1;
Melvins;1;
Memeless;1;
Mental Crush;1;
Mental D-struction;1;
Merak ft. Smack & Tchagun;1;
Mesa que mas aplauda;1;
Metal Church;1;
Metallica - Topic;1;
Metronomy;1;
Miasmatic Necrosis;1;
Michael Giacchino;1;
Michael Ius;1;
Michel Brown;1;
Midoran;1;
Miguel Moly;1;
Mike Emilio;1;
Mirth;1;
Miya Folick;1;
Mnogoznaal;1;
Mob 47;1;
Moderat;1;
Mohamed Al Ali;1;
Monococ;1;
Monolith;1;
Monoloc;1;
Monster Mush;1;
Morgenshtern;1;
Morgoth;1;
Mortiis;1;
Movarbru;1;
Mr. Gengar;1;
Mr. Oizo;1;
MrBeast;1;
Mujuice;1;
Municipal Waste;1;
Murray Johnson;1;
Mushroomhead;1;
Mythic Sunship;1;
Mы;1;
Nachtruf;1;
Naked Whipper;1;
Nasum;1;
NDTP Channel;1;
Necrophagia;1;
Necropolis;1;
Necros Christos;1;
Negative Plane;1;
Nelson Can;1;
neolux;1;
Neuromonakh Feofan;1;
Nick James;1;
Nick Moris;1;
Nico Kolbe;1;
Niereich;1;
Nile;1;
Nocra;1;
Nocthornialh;1;
Noisestorm;1;
Noize MC;1;
Noizefucker vs. Terrorrazor;1;
Nolita;1;
Nosferatu;1;
Nosvrolok;1;
NSCLT;1;
Nuevo Texas;1;
Octavio Mesa Y Su Conjunto;1;
Odilio Gonzalez;1;
Okkvlt Kλtt;1;
Oliver Heldens;1;
Oliver Smith;1;
Oliver Tree;1;
Omegatypez;1;
Oneke;1;
oOoOO;1;
Orchid Mantis;1;
Organic Waves;1;
Otro Tavella & Los embajadores del buen gusto;1;
Outer Heaven;1;
Ozuna;1;
Ozzed;1;
Pan-Amerikan Native Front;1;
Panzerfaust;1;
Parasitic Ejaculation;1;
Passenger of Shit;1;
Patsydelic;1;
Paul Engemann;1;
PAYBACK BOYS;1;
Peaches;1;
Pestilence;1;
Phantom Handshakes;1;
Phil Boniface;1;
Phildel;1;
Phrozen;1;
Pierre Henry;1;
Pigsty;1;
Pim Miles;1;
Pink Floyd;1;
Pitstop Boys;1;
Playground;1;
Popek;1;
Popof;1;
Presagio;1;
Primal Beat;1;
Profanacion;1;
Psy;1;
Psyclown;1;
Public Enemies;1;
PUMPING - HARDBASS;1;
Punch;1;
Purgatory;1;
Purgytory;1;
qbik;1;
R.K.M & Ken-Y;1;
Raär;1;
Radium;1;
Ramon;1;
Randy;1;
Rata Blanca;1;
Raul Santi;1;
Razbibriga;1;
Reconquesta;1;
Reeking Aura;1;
Regina Mira;1;
Residente;1;
Restive Plaggona;1;
Reverorum ib Malacht;1;
Riamiwo;1;
Richard Wagner;1;
Rick Hagen;1;
Rick Jolt;1;
Riki;1;
Río Roma;1;
Ritual Howls;1;
Rivo;1;
Robert Babicz;1;
Robert Natus;1;
Robodrum;1;
Rod Temperton;1;
Roentgen Limiter;1;
Rose Tattoo;1;
Rot;1;
Round Wave Crusher feat. Kreton;1;
Rtik;1;
Ruben Sam;1;
Rudosa;1;
Run–D.M.C.;1;
